record_id,airline_code,airline_name,flight_number,origin_airport,destination_airport,departure_datetime,arrival_datetime,duration_min,status,delay_min,aircraft_type,cabin_class,seat
1,FR,Ryanair,FR5515,MEX,GUA,20/01/2024 10:14,20/01/2024 13:24,185,ON_TIME,0,B739,ECONOMY,37F
2,AV,Avianca,AV1170,SAP,jfk,22/12/2024 20:18,,,CANCELLED,,CRJ9,ECONOMY,
3,IB,Iberia,IB2267,PTY,BOG,18/06/2025 12:16,18/06/2025 17:50,330,ON_TIME,0,A320,PREMIUM_ECONOMY,11B
4,DL,Delta,DL8318,HAV,MIA,12/06/2025 13:05,12/06/2025 17:20,261,ON_TIME,0,A319,ECONOMY,30E
5,WN,Southwest,WN6538,GUA,SAL,4/10/2025 05:08,10/04/2025 08:59,210,ON_TIME,0,B767,BUSINESS,10C
6,UA,United,UA6940,JFK,SAL,19/02/2024 17:31,02-19-2024 09:00 PM,218,ON_TIME,0,A320,ECONOMY,23A
7,AA,AMERICAN AIRLINES,AA2698,SAL,MEX,8/11/2024 17:24,9/11/2024 01:09,417,DELAYED,37,B738,ECONOMY,22E
8,IB,IBERIA,IB9486,MAD,PTY,25/06/2025 01:24,25/06/2025 08:48,419,ON_TIME,0,B757,ECONOMY,22C
9,AM,AEROMEXICO,AM0129,JFK,PTY,6/07/2024 15:40,6/07/2024 22:17,387,ON_TIME,0,E190,ECONOMY,37F
10,IB,Iberia,IB1233,MEX,SAL,22/11/2025 01:26,22/11/2025 03:30,99,ON_TIME,0,A319,ECONOMY,22F
11,B6,JetBlue,B64066,LIM,SAL,25/04/2024 00:40,04-25-2024 05:03 AM,265,ON_TIME,0,A321,ECONOMY,45A
12,CM,Copa Airlines,CM5140,JFK,GUA,4/06/2024 00:18,4/06/2024 05:10,280,ON_TIME,0,A321,PREMIUM_ECONOMY,12B
13,IB,Iberia,IB8978,GUA,SJO,4/07/2025 12:42,4/07/2025 17:00,268,ON_TIME,0,B737,PREMIUM_ECONOMY,12C
14,FR,RYANAIR,FR6292,LAX,SAP,12-27-2024 04:00 AM,27/12/2024 08:49,271,ON_TIME,0,E190,ECONOMY,41F
15,AA,American Airlines,AA4051,HAV,CUN,26/11/2024 05:17,26/11/2024 11:03,157,DELAYED,188,B777,ECONOMY,17E
16,CM,COPA AIRLINES,CM6390,SAL,MIA,8/07/2025 05:26,7/08/2025 08:42,191,ON_TIME,0,B757,ECONOMY,33A
17,B6,JetBlue,B64559,JFK,GUA,14/01/2025 05:15,14/01/2025 07:59,157,ON_TIME,0,B738,ECONOMY,26F
18,BA,British Airways,BA5112,BOG,SAP,2/10/2024 10:56,10/02/2024 14:44,224,ON_TIME,0,B757,PREMIUM_ECONOMY,11A
19,AA,American Airlines,AA8818,LIM,sjo,20/06/2025 09:59,20/06/2025 16:10,366,ON_TIME,0,CRJ9,ECONOMY,43F
20,UA,United,UA0283,SAL,BOG,4/08/2024 15:35,8/04/2024 22:50,275,DELAYED,155,CRJ9,ECONOMY,28C
21,AM,Aeromexico,AM2940,BCN,LIM,5/03/2025 21:29,6/03/2025 02:57,316,ON_TIME,0,A319,ECONOMY,26C
22,WN,Southwest,WN7382,LAX,jfk,25/06/2025 16:48,25/06/2025 18:58,109,ON_TIME,0,B787,ECONOMY,25D
23,B6,JetBlue,B63684,SAL,MEX,04-18-2025 12:20 PM,18/04/2025 13:58,95,ON_TIME,0,A319,ECONOMY,18B
